"fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc","prepaid","default"
719,201703,"9",203202,"31084",0,1,"P",40,45,194000,40,3.125,"R","N","FRM","CA","SF","90700","F117Q1018217","N",180,1,"LOANDEPOTCOM,LLC","PNCBANK,NATL","",1,0
722,201703,"9",203702,"24860",0,1,"P",59,35,161000,59,4.125,"C","N","FRM","SC","SF","29600","F117Q1018326","N",240,2,"USBANKNA","USBANKNA","",1,0
732,201703,"9",204702,"19740",0,1,"P",74,35,264000,74,4.25,"C","N","FRM","CO","PU","80000","F117Q1018439","N",360,1,"Other sellers","Other servicers","",1,0
730,201703,"9",204702,"25940",0,1,"I",75,36,248000,75,4.875,"B","N","FRM","SC","PU","29900","F117Q1018540","P",360,1,"Other sellers","Other servicers","",1,0
773,201703,"9",203202,"35614",0,1,"P",75,48,277000,75,3.125,"R","N","FRM","NJ","SF","08900","F117Q1019154","N",180,2,"QUICKENLOANINC","QUICKENLOANINC","",1,0
661,201703,"9",203202,"",0,2,"I",37,50,125000,37,4.25,"B","N","FRM","CA","SF","95600","F117Q1019464","P",180,2,"STEARNSLENDING,LLC","FREEDOMMTGECORP","",1,0
686,201703,"N",204702,"29404",12,1,"P",85,41,123000,85,4.375,"R","N","FRM","IL","PU","60000","F117Q1019637","P",360,2,"Other sellers","Other servicers","",1,0
766,201703,"9",203202,"11100",0,1,"P",65,33,158000,65,3.125,"R","N","FRM","TX","SF","79100","F117Q1019886","C",180,1,"LOANDEPOTCOM,LLC","MATRIXFINANCIALSERVI","",1,0
723,201703,"9",204702,"36260",0,2,"I",75,24,190000,75,4.75,"C","N","FRM","UT","SF","84000","F117Q1020179","P",360,1,"BRANCHBANKING&TRUSTC","Other servicers","",1,0
772,201703,"Y",204702,"41740",0,1,"P",80,43,314000,80,4.375,"R","N","FRM","CA","CO","92000","F117Q1020270","P",360,2,"LOANDEPOTCOM,LLC","Other servicers","",1,0
